"FullName","CreationTime"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Temp Testing Mod 4.0.py","2025-03-23 5:02:57 PM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Temp Testing Mod.py","2025-03-23 12:05:15 PM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Temperature Adjustment","2025-03-11 10:27:39 AM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Temperature Correlatio","2025-03-11 10:23:34 AM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Temperature Correlation","2025-03-11 10:18:39 AM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Temperature Fix","2025-03-11 10:27:57 AM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Temperature Testing","2025-03-23 11:57:34 AM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy to Bh Mass","2025-03-24 12:35:55 AM"
"D:\entropy-research-library\entropy-hypothesis\scr\entropy_data.csv","2025-03-23 1:26:36 PM"
"D:\entropy-research-library\entropy-hypothesis\scr\entropy_horizon_table.csv","2025-03-23 7:36:18 PM"
"D:\entropy-research-library\entropy-hypothesis\scr\entropy_water_vapor.csv","2025-03-23 6:03:41 PM"
"D:\entropy-research-library\entropy-hypothesis\scr\file_timestamps.csv","2025-03-27 12:49:38 AM"
"D:\entropy-research-library\entropy-hypothesis\scr\Gw150914 Entropy Test","2025-03-24 12:44:49 AM"
"D:\entropy-research-library\entropy-hypothesis\scr\Hawking Radiation Comparison","2025-03-11 10:28:40 AM"
"D:\entropy-research-library\entropy-hypothesis\scr\Hubble Constant Check","2025-03-11 10:26:40 AM"
"D:\entropy-research-library\entropy-hypothesis\scr\Micro System Equation","2025-03-11 10:16:46 AM"
"D:\entropy-research-library\entropy-hypothesis\scr\Modified Bh Equations.py","2025-03-11 10:21:20 AM"
"D:\entropy-research-library\entropy-hypothesis\scr\Modified Entropy Test","2025-03-11 10:27:17 AM"
"D:\entropy-research-library\entropy-hypothesis\scr\Negative Entropy Calc","2025-03-11 10:22:56 AM"
"D:\entropy-research-library\entropy-hypothesis\scr\Planck Entropy Analysis","2025-03-11 7:37:11 AM"
"D:\entropy-research-library\entropy-hypothesis\scr\Planck Scale Entropy","2025-03-11 7:38:00 AM"
"D:\entropy-research-library\entropy-hypothesis\scr\Primordial BH Constraints","2025-03-11 10:28:19 AM"
"D:\entropy-research-library\entropy-hypothesis\scr\Quantum Entropy Correction","2025-03-11 10:14:57 AM"
"D:\entropy-research-library\entropy-hypothesis\scr\Quantum Entropy Eq","2025-03-11 8:10:39 AM"
"D:\entropy-research-library\entropy-hypothesis\scr\Quantum Entropy Eqs","2025-03-11 10:12:09 AM"
"D:\entropy-research-library\entropy-hypothesis\scr\Quantum Entropy Test","2025-03-11 10:14:28 AM"
"D:\entropy-research-library\entropy-hypothesis\scr\Saturated Bh Entropy Model","2025-03-23 7:08:26 PM"
"D:\entropy-research-library\entropy-hypothesis\scr\Saturation Model Vs BH Entropy","2025-03-24 12:33:05 AM"
"D:\entropy-research-library\entropy-hypothesis\scr\Second Equation Test","2025-03-11 10:17:57 AM"
"D:\entropy-research-library\entropy-hypothesis\scr\Standard Blackhole Model","2025-03-11 10:30:45 AM"
"D:\entropy-research-library\entropy-hypothesis\scr\Standard Blackhole QM","2025-03-11 10:29:34 AM"
"D:\entropy-research-library\entropy-hypothesis\scr\Superconductivity Entropy","2025-03-11 10:16:00 AM"
"D:\entropy-research-library\entropy-hypothesis\scr\Third Equation Entropy","2025-03-11 7:36:33 AM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Chajar Constant","2025-03-25 12:05:29 AM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Entropy Collapse Test 1.1","2025-03-24 11:11:19 PM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Entropy Collapse Test 1.2","2025-03-24 11:32:29 PM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Entropy Collapse Test 1.3","2025-03-24 11:36:35 PM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Entropy Collapse Test 1.4","2025-03-24 11:48:21 PM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Entropy Collapse Test 1.5","2025-03-24 11:54:04 PM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Entropy Collapse Test 1.6","2025-03-24 11:56:57 PM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Entropy Collapse Test 1.7","2025-03-25 12:01:14 AM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Entropy Collapse Test 1.8","2025-03-25 12:13:04 AM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Entropy Collapse Test 1.9","2025-03-25 12:17:02 AM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Entropy Collapse Test 2.1","2025-03-25 12:23:55 AM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Entropy Collapse Test 2.2","2025-03-25 12:29:56 AM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Entropy Energy Temperature 1.0","2025-03-24 12:00:58 PM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Entropy Energy Template","2025-03-24 11:57:55 AM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Figure 59 Caption","2025-03-24 1:05:45 PM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Figure 60 Caption","2025-03-24 1:05:45 PM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Figure_60.png","2025-03-24 1:05:45 PM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Figure_60_Data.csv","2025-03-24 1:05:45 PM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Temperature from Entropy 1.0","2025-03-24 12:26:58 PM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Temperature from Entropy 1.1","2025-03-24 12:30:55 PM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Temperature from Entropy 2.0","2025-03-24 12:36:36 PM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Temperature from Entropy 2.1","2025-03-24 12:41:27 PM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Temperature from Entropy 3","2025-03-24 12:50:54 PM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Unified Abstract Summary","2025-03-24 1:06:40 PM"
"D:\entropy-research-library\entropy-hypothesis\scr\scr + stabilisation\Entropy Gravity Relation","2025-03-18 8:35:30 PM"
"D:\entropy-research-library\entropy-hypothesis\scr\scr + stabilisation\Obervational Dark Matter","2025-03-18 8:36:45 PM"
"D:\entropy-research-library\entropy-hypothesis\scr\scr + stabilisation\Quantum Lock Entropy","2025-03-18 8:35:53 PM"
